GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
MesoNet	github(MalayAgr/MesoNet-DeepFakeDetection)	from classifiers import Meso4; model = Meso4(num_classes=2)	(1, 3, 256, 256)	float32	deepfake-cnn	security/deepfake	2018	Shallow CNN targeting mesoscopic (mid-frequency) face-forgery artifacts; multiple PyTorch repos; HIGH
Kitsune	github(Guillem96/kitsune-pytorch)	from kitsune import Kitsune; model = Kitsune(n_features=100, max_autoencoder_size=10)	(1, 100)	float32	ids-autoencoder	security/intrusion-detection	2018	Online ensemble of small feature-cluster autoencoders feeding an output-AE anomaly score; PyTorch port; HIGH
PhaseNet	seisbench	import seisbench.models as sbm; model = sbm.PhaseNet()	(1, 3, 3001)	float32	seismic-unet	seismology	2018	U-Net encoder-decoder on 3-component waveforms -> per-sample P/S/noise probabilities; seisbench PyTorch; HIGH
EQTransformer	seisbench	import seisbench.models as sbm; model = sbm.EQTransformer()	(1, 3, 6000)	float32	seismic-transformer	seismology	2020	1D-conv + BiLSTM + multi-head attn encoder with tri-decoder (detection + P + S) cross-task attention; seisbench PyTorch; HIGH
SatMAE	github(sustainlab-group/SatMAE)	from models_vit_group_channels import vit_large_patch16; model = vit_large_patch16()	(1, 6, 224, 224)	float32	remote-sensing-mae	remote-sensing/geospatial	2022	MAE-ViT with independent temporal masking + per-spectral-band-group positional encoding; official PyTorch; HIGH
Scale-MAE	github(bair-climate-initiative/scale-mae)	from mae.models_mae import ScaleMAE; model = ScaleMAE(img_size=224, patch_size=16)	(1, 3, 224, 224)	float32	remote-sensing-mae	remote-sensing/geospatial	2023	GSD (ground-sample-distance) encoded into positional embedding + Laplacian-pyramid decoder; official PyTorch; HIGH
SpectralGPT	github(danfenghong/IEEE_TPAMI_SpectralGPT)	from models_mae_spectral import MaskedAutoencoderViT; model = MaskedAutoencoderViT()	(1, 128, 128, 128)	float32	remote-sensing-gpt	remote-sensing/hyperspectral	2024	3D tokenization coupling spatial+spectral with autoregressive band-group ordering MAE; official PyTorch; HIGH
Prithvi	huggingface(ibm-nasa-geospatial/Prithvi-EO-2.0-300M)	from transformers import AutoModel; model = AutoModel.from_pretrained('ibm-nasa-geospatial/Prithvi-EO-2.0-300M', trust_remote_code=True)	(1, 6, 3, 224, 224)	float32	remote-sensing-mae	remote-sensing/geospatial	2023	Temporal ViT MAE on multi-band HLS satellite time series with temporal+location embeddings; HF + isaaccorley/prithvi-pytorch; HIGH
PSE+TAE	github(VSainteuf/pytorch-psetae)	from models.stclassifier import PseTae; model = PseTae()	(1, 24, 32, 32)	float32	satellite-time-series	remote-sensing/agriculture	2020	Unordered pixel-set encoder per parcel + temporal self-attention over acquisitions (no image conv); official PyTorch; HIGH
U-TAE	github(VSainteuf/utae-paps)	from src.backbones.utae import UTAE; model = UTAE(input_dim=10, encoder_widths=[64,64,64,128], decoder_widths=[32,32,64,128])	(1, 10, 24, 128, 128)	float32	satellite-time-series	remote-sensing/agriculture	2021	U-Net encoder-decoder with temporal attention embedded at multiple spatial scales for SITS; official PyTorch; HIGH
LEAF	github(SarthakYadav/leaf-pytorch)	from leaf_pytorch.frontend import LEAF; model = LEAF(n_filters=40, sample_rate=16000)	(1, 1, 16000)	float32	audio-frontend	audio/DSP	2021	Learnable Gabor filterbank + Gaussian pooling + sPCEN normalization (full learnable DSP frontend); PyTorch ports; HIGH
SincNet	github(mravanelli/SincNet)	from dnn_models import SincConv_fast; model = SincConv_fast(out_channels=80, kernel_size=251, in_channels=1, sample_rate=16000)	(1, 1, 16000)	float32	audio-cnn	audio/speech	2018	First conv layer = parametrized sinc band-pass filters (only cutoff freqs learned); official PyTorch; HIGH
EEND	github(Xflick/EEND_PyTorch)	from model.EEND import TransformerEEND; model = TransformerEEND(n_speakers=2, in_size=345, n_units=256, n_heads=4, n_layers=4)	(1, 500, 345)	float32	diarization-transformer	audio/diarization	2019	Self-attention maps multi-talker audio directly to per-speaker-per-frame activity (permutation-free loss); PyTorch port; HIGH
ParticleNet	github(hqucms/weaver-core)	from weaver.nn.model.ParticleNet import ParticleNet; model = ParticleNet(input_dims=4, num_classes=2)	(1, 4, 128)	float32	hep-jet-gnn	HEP/particle	2019	Dynamic-graph EdgeConv over jet-constituent point cloud (rebuilt in latent space each layer); weaver-core PyTorch; HIGH
LorentzNet	github(sdogsq/LorentzNet-release)	from models.lgeb import LorentzNet; model = LorentzNet(n_scalar=2, n_hidden=72, n_class=2, dropout=0.0)	(1, 4, 128)	float32	hep-jet-gnn	HEP/particle	2022	Lorentz-group-equivariant message passing using Minkowski inner products as edge features; official PyTorch; HIGH
EFN/PFN	github(thaler-lab/EnergyFlow)	import energyflow as ef; model = ef.archs.PFN(input_dim=3, Phi_sizes=(100,100,128), F_sizes=(100,100,100))	(1, 128, 3)	float32	hep-jet-deepsets	HEP/particle	2019	Deep-sets latent-per-particle + sum (provably IRC-safe); package is Keras/TF (no canonical torch) - catalog via energyflow; MED
ParT	github(jet-universe/particle_transformer)	from networks.ParticleTransformer import ParticleTransformer; model = ParticleTransformer(input_dim=4, num_classes=10)	(1, 4, 128)	float32	hep-jet-transformer	HEP/particle	2022	Transformer with Lorentz-aware pairwise interaction features (mass, pT) as attention biases; official PyTorch; HIGH
CDVAE	github(txie-93/cdvae)	from cdvae.pl_modules.model import CDVAE; model = CDVAE(cfg)	PyG Data (crystal graph)	float32	crystal-diffusion	materials-chem	2021	Periodic-graph encoder -> latent -> Langevin diffusion decoder of atom coords/types; official PyTorch+PyG; HIGH
DiffCSP	github(jiaor17/DiffCSP)	from diffcsp.pl_modules.model import CSPDiffusion; model = CSPDiffusion(cfg)	PyG Data (crystal graph)	float32	crystal-diffusion	materials-chem	2023	Joint periodic E(3)-equivariant diffusion on lattice + fractional coords (wrapped-normal torus); NeurIPS23 PyTorch; HIGH
HDNNP/Behler-Parrinello	github(lanl/hippynn)	from hippynn.networks.hipnn import Hipnn; model = Hipnn(possible_species=[1,6,7,8])	(1, 64, 51) ACSF descriptors	float32	molecular-potential	materials-chem	2007	Atom-centered symmetry functions feed per-element atomic subnets summed to total energy; hippynn PyTorch (orig non-torch); MED
DTNN	github(atomistic-machine-learning/schnetpack)	import schnetpack as spk; model = spk.representation.DTNN()	PyG Data (atoms graph)	float32	molecular-potential	materials-chem	2017	Atom embeddings interact through distance-conditioned tensor layers; in SchNetPack PyTorch; HIGH
HIP-NN	github(lanl/hippynn)	from hippynn.networks.hipnn import Hipnn; model = Hipnn(possible_species=[1,6,7,8], n_features=20, n_interaction_layers=1)	(1, 64, 3) coords	float32	molecular-potential	materials-chem	2018	Hierarchical interacting-particle network: order-wise many-body atomic energy decomposition; official hippynn PyTorch; HIGH
FrameDiff	github(jasonkyuyim/se3_diffusion)	from model.score_network import ScoreNetwork; model = ScoreNetwork(model_conf)	(1, 128, 3) backbone coords	float32	protein-diffusion	genomics-proteomics	2023	SE(3) diffusion on rigid-body frames with separate IPA+transformer rotation/translation score nets; official PyTorch; HIGH
FoldingDiff	github(microsoft/foldingdiff)	from foldingdiff.modelling import BertForDiffusion; model = BertForDiffusion.from_pretrained('wukevin/foldingdiff')	(1, 128, 6) torsion angles	float32	protein-diffusion	genomics-proteomics	2022	DDPM over 6 backbone torsion/bond angles per residue using a BERT encoder (no 3D coords); official PyTorch; HIGH
Genie	github(aqlaboratory/genie)	from model.genie import Genie; model = Genie(config)	(1, 128, 3) Calpha coords	float32	protein-diffusion	genomics-proteomics	2023	SE(3)-equivariant denoiser on Frenet-Serret backbone frames from alpha-carbon coords only; official PyTorch; HIGH
GenSLM	github(ramanathanlab/genslm)	from genslm import GenSLM; model = GenSLM('genslm_25M_patric', model_cache_dir='/tmp')	(1, 512) codon token ids	int64	genomic-llm	genomics-proteomics	2022	GPT-style codon-tokenized autoregressive genomic LM for viral evolution; official PyTorch; HIGH
PINNsFormer	github(AdityaLab/pinnsformer)	from model.pinnsformer import PINNsFormer; model = PINNsFormer(d_out=1, d_hidden=512, d_model=32, N=1, heads=2)	(1, 5, 2) space-time pseudo-seq	float32	pinn-transformer	operator-learning/PDE	2024	Transformer PINN: generates pseudo-sequences of collocation points + self-attention before PDE residual; ICLR24 PyTorch; HIGH
Deep Ritz Method	github(junbinhuang/DeepRitz)	from deepritz import DeepRitz; model = DeepRitz(d=2, m=10)	(1, 2) spatial coords	float32	variational-pde-net	operator-learning/PDE	2018	DNN minimizes Ritz variational energy functional (H1 norm) via Monte-Carlo integration (not residual); PyTorch; HIGH
Deep Galerkin Method	github(adolfocorreia/DGM)	from dgm import DGMNet; model = DGMNet(d=2, M=50, n_layers=3)	(1, 3) space-time coords	float32	pde-recurrent-net	operator-learning/PDE	2018	LSTM-like recurrent spatial layers minimizing PDE operator norm for >100D PDEs; PyTorch ports; HIGH
sPINN	github(stnamjef/SPINN)	from spinn import SPINN; model = SPINN(d=2, n_neurons=50)	(1, 1) per-axis coords	float32	separable-pinn	operator-learning/PDE	2022	Product-of-per-dimension-subnetworks + forward-mode AD on outer-product grid (cheap high-D); NeurIPS23 PyTorch; HIGH
LSM	github(thuml/Latent-Spectral-Models)	from models.LSM_2D import Model; model = Model(cfg)	(1, 64, 64, 1)	float32	neural-operator-pde	operator-learning/PDE	2022	Encodes PDE inputs into compact spectral latent space, learns spectral operators there, decodes; ICML23 PyTorch; HIGH
PDE-Net	github(ZichaoLong/PDE-Net)	from pdenet import PDENet; model = PDENet(dt=0.01, mesh_size=[64,64], kernel_size=5)	(1, 1, 64, 64)	float32	learnable-fd-operator	operator-learning/PDE	2018	Constrained conv filters learn differential operators + nonlinear PDE response (operator discovery); official PyTorch; HIGH
FINN	github(CognitiveModeling/finn)	from finn.models import FINN; model = FINN(config)	(1, 1, 64)	float32	finite-volume-nn	operator-learning/PDE	2022	Architecture IS the finite-volume update graph: learnable flux + conservation-law modules; PyTorch repos; HIGH
KRNO	github(srinathdama/ShiftingTime)	from krno.model import KRNO; model = KRNO(cfg)	(1, 100, 1) space-time series	float32	neural-operator-pde	operator-learning/PDE	2025	Continuous time-shift operator via non-stationary Khatri-Rao integral transforms; ICML25 official PyTorch; HIGH
AIFS	github(ecmwf/anemoi)	from anemoi.models.models.forecaster import AnemoiModelEncProcDec; model = AnemoiModelEncProcDec(config)	PyG Data (icosahedral graph)	float32	weather-gnn	climate/weather	2024	GNN encoder-decoder + sliding-window transformer processor on reduced-Gaussian icosahedral grid; anemoi PyTorch+PyG; HIGH
DGMR	github(openclimatefix/skillful_nowcasting)	from dgmr import DGMR; model = DGMR()	(1, 4, 1, 256, 256) radar	float32	weather-gan	weather/nowcasting	2021	ConvGRU U-Net generator + separate spatial/temporal discriminators for probabilistic radar nowcasts; PyTorch-Lightning; HIGH
MetNet	github(openclimatefix/metnet)	from metnet import MetNet; model = MetNet()	(1, 12, 16, 256, 256)	float32	weather-convlstm	weather/precipitation	2020	ConvLSTM temporal encoder + axial self-attention over continental context patch; openclimatefix PyTorch; HIGH
PhyDNet	github(vincent-leguen/PhyDNet)	from models.models import EncoderRNN; model = EncoderRNN(phycell, convcell)	(1, 10, 1, 64, 64) video	float32	pde-video-prediction	video/physics	2020	Two-branch recurrent: PhyCell (learned PDE-constrained update) disentangled from residual ConvLSTM; CVPR20 PyTorch; HIGH
MinCutPool	pytorch-geometric	from torch_geometric.nn import dense_mincut_pool; out, adj, mc, o = dense_mincut_pool(x, adj, s)	(1, 100, 64) dense node feats	float32	graph-pooling	graph	2020	Spectral mincut soft node-assignment pooling (normalized cut + orthogonality); native in PyG; HIGH
Geom-GCN	github(alexfanjn/GeomGCN_PyG)	from geomgcn import GeomGCN; model = GeomGCN(in_channels=128, out_channels=7)	PyG Data (graph)	float32	geometric-gcn	graph	2020	Aggregates structural neighbors defined in a latent geometric space (not 1-hop graph) for disassortative graphs; PyG reimpl; HIGH
Agent57	github(YHL04/agent57)	from agent57 import Agent57; model = Agent57(env_name='Pong', num_actions=18)	(1, 4, 84, 84) Atari	float32	meta-controller-rl	RL	2020	Bandit meta-controller selects over policy family with separate intrinsic/extrinsic reward heads (NGU); PyTorch ports; MED
Plan2Explore	github(yusukeurakami/plan2explore-pytorch)	from plan2explore import Plan2Explore; model = Plan2Explore(config)	(1, 3, 64, 64) pixels	float32	world-model-rl	RL	2020	World model maximizing ensemble-disagreement novelty for zero-shot task adaptation; PyTorch port (orig TF); MED
DeepSurv	github(havakv/pycox)	from pycox.models import CoxPH; import torchtuples as tt; model = CoxPH(tt.practical.MLPVanilla(32,[64,64],1), tt.optim.Adam)	(1, 32) covariates	float32	survival-mlp	medical/survival	2016	MLP risk score replacing the linear predictor in Cox PH (partial-likelihood loss); pycox PyTorch; HIGH
DeepHit	github(havakv/pycox)	from pycox.models import DeepHit; import torchtuples as tt; model = DeepHit(tt.practical.MLPVanilla(32,[64,64],35), tt.optim.Adam, alpha=0.2, sigma=0.1)	(1, 32) covariates	float32	survival-discrete	medical/survival	2018	Shared subnet + cause-specific heads jointly learn discrete first-hit-time/event-type for competing risks (no PH); pycox PyTorch; HIGH
GG-CNN	github(dougsm/ggcnn)	from models.ggcnn import GGCNN; model = GGCNN()	(1, 1, 300, 300) depth	float32	grasp-regression	robotics/grasping	2018	Fully-conv depth-image -> dense per-pixel grasp quality/angle/width map (no candidate sampling); official PyTorch; HIGH
DeepVO	github(ChiWeiHsiao/DeepVO-pytorch)	from model import DeepVO; model = DeepVO(imsize1=184, imsize2=608, batchNorm=True)	(1, 2, 6, 184, 608) frame pair	float32	visual-odometry	robotics/odometry	2017	FlowNet-S CNN -> stacked LSTM end-to-end 6-DOF pose from raw RGB (no bundle adjustment); PyTorch ports; HIGH
SfMLearner	github(ClementPinard/SfmLearner-Pytorch)	from models import DispNetS, PoseExpNet; disp = DispNetS(); pose = PoseExpNet(nb_ref_imgs=2)	(1, 3, 128, 416) RGB	float32	self-sup-depth-pose	robotics/odometry	2017	Self-supervised joint DepthNet + PoseNet via photometric view-synthesis loss + explainability mask; PyTorch port; HIGH
MuseGAN	github(salu133445/musegan)	from musegan.models import Generator; model = Generator(cfg)	(1, 4, 2, 128) latent	float32	music-gan	music/symbolic	2018	Multi-track piano-roll GAN with separate inter-track (chords) + intra-track (temporal) generators; official (TF+PyTorch); HIGH
Wav2Lip	github(Rudrabha/Wav2Lip)	from models.wav2lip import Wav2Lip; model = Wav2Lip()	(1, 6, 5, 96, 96) faces + (1,1,80,16) mel	float32	lip-sync-gan	multimodal/lip-sync	2020	Audio-conditioned U-Net face generator with pretrained SyncNet lip-sync discriminator loss; official PyTorch; HIGH
NS-VQA	github(kexinyi/ns-vqa)	from reason.models.seq2seq import Seq2seqParser; model = Seq2seqParser(opt)	(1, 3, 224, 224) img + (1, 45) prog	mixed	neurosymbolic-vqa	neuro-symbolic	2018	Scene parser (object attrs) + question-to-program seq2seq + deterministic symbolic executor on scene graph; official PyTorch; HIGH
Scallop	github(scallop-lang/scallop)	import scallopy; ctx = scallopy.ScallopContext(provenance='difftopkproofs'); ctx.add_relation('digit', (int, int))	mixed tensor + relations	mixed	neurosymbolic-datalog	neuro-symbolic	2023	Differentiable Datalog with provenance semirings (AND=mul, OR=min) bridging neural probs to logic; scallopy PyTorch binding; HIGH
LNN	github(IBM/LNN)	from lnn import Model, Predicate, And; m = Model(); A, B = Predicate('A'), Predicate('B'); m.add_knowledge(And(A, B))	(1, N) truth bounds	float32	logical-nn	neuro-symbolic	2020	Every neuron IS a weighted real-valued logical connective with bidirectional inference + truth bounds; official IBM PyTorch; HIGH
Neural Production Systems	github(anirudh9119/neural_production_systems)	from neural_production_systems.model import NPS; model = NPS(n_rules=4, rule_dim=64, n_slots=8)	(1, 8, 64) slot features	float32	neurosymbolic-modular	neuro-symbolic	2021	Learned production-rule templates bind variables to entity slots + sparse slot updates; official PyTorch; HIGH
PonderNet	github(lucidrains/ponder-transformer)	from ponder_transformer import PonderTransformer; model = PonderTransformer(dim=512, max_steps=20, num_tokens=20000)	(1, 128)	int64	adaptive-compute	algorithmic/Turing	2021	Probabilistic latent-variable halting: per-step halt prob + geometric halting distribution + ponder-cost KL; lucidrains PyTorch; HIGH
Phased LSTM	classics-pytorch	from menagerie.classics.phased_lstm import PhasedLSTM; model=PhasedLSTM(input_size=128, hidden_size=48)	(1,8,128)	float32	phased-lstm	history	2016	repaired 2026-06-18; verified instantiate+trace n_ops=349; shorter valid sequence avoids classics example timeout
IndRNN Independently Recurrent Neural Network	classics-pytorch	menagerie.classics.indrnn.build()	(1,8,128)	float32	indrnn	history	2018	repaired 2026-06-18; verified instantiate+trace n_ops=32
